DOLAR,"$ 1,090.00",DESCUENTO 15% INCLUIDO EN COLUMNA L,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,BFT,,,,,,,,
,,,,,,,,,,
CODIGO,IVA,DESCRIPCION,PUBLICO,RES,S/RED,PUBLICO US,,FECHA ING,COSTO US,US S/IVA
,,,,,,,,,,
,,ACCESORIOS ELECTRONICA,,,,,,,,
,,,,,,,,,,
IL-HWORK24L-3AAA,1.21,LINTERNA 24 LED IMAN Y GANCHO Y 3AAA,"$ 6,900.00",$ 58.28,"$ 6,858.28",$ 6.29,30.00,04/12/2020,4.84,$4.00
ILRA-UNICORNIO,1.21,LUZ LED RECARGABLE UNICORNIO,"$ 20,200.00",$ 99.35,"$ 20,199.35",$ 18.53,30.00,16/07/2024,14.26,$11.78
ILRA-OSITO,1.21,LUZ LED RECARGABLE OSITO,"$ 18,700.00",$ 27.39,"$ 18,727.39",$ 17.18,30.00,18/12/2024,13.22,$10.92
ILRA-GATITO,1.21,LUZ LED RECARGABLE GATITO,"$ 18,700.00",$ 27.39,"$ 18,727.39",$ 17.18,30.00,18/12/2024,13.22,$10.92
IL-E.LLAV1COB,1.21,LUZ LED LLAVERO TACTICO,"$ 4,100.00",$ 51.53,"$ 4,051.53",$ 3.72,30.00,02/01/2024,2.86,$2.36
ILRA-BALLENA,1.21,LUZ LED RECARGABLE BALLENA,"$ 18,600.00",$ 67.08,"$ 18,567.08",$ 17.03,30.00,18/12/2024,13.10,$10.83
ILRA-DINO,1.21,LUZ LED RECARGABLE DINO,"$ 18,600.00",$ 67.08,"$ 18,567.08",$ 17.03,30.00,18/12/2024,13.10,$10.83
ILRA-PINGUINO,1.21,LUZ LED RECARGABLE PINGUINO,"$ 18,600.00",$ 67.08,"$ 18,567.08",$ 17.03,30.00,18/12/2024,13.10,$10.83
IL-VEL.DL009-B,1.21,LUZ LED 3W BLANCA PROBATTERY,"$ 9,400.00",$ 14.70,"$ 9,414.70",$ 8.64,30.00,18/12/2024,6.64,$5.49
,,,,,,,,,,
,,PILAS ALCALINAS ESPECIALES,,,,,,,,
,,,,,,,,,,
PNAK-23A-BBB,1.21,PILA ALCALINA VINNIC 23A,$ 800.00,$ 72.41,$ 772.41,$ 0.71,30.00,02/01/2024,0.55,$0.45
PNAK-27A-BBB,1.21,PILA ALCALINA VINNIC 27A,$ 800.00,$ 72.41,$ 772.41,$ 0.71,30.00,02/01/2024,0.55,$0.45
,,,,,,,,,,
,,PILAS BOTON OXIDO DE PLATA Y LITIO,,,,,,,,
,,,,,,,,,,
PNLB-1632-BMX,1.21,PILA LITIO 1632 3V MAXELL,"$ 2,400.00",$ 75.54,"$ 2,375.54",$ 2.18,30.00,02/01/2024,1.68,$1.39
PNLB-2330-BPN,1.21,PILA LITIO 2330 3V PANASONIC,"$ 3,400.00",$ 81.13,"$ 3,381.13",$ 3.10,30.00,02/01/2024,2.39,$1.97
PNLB-2450-BPN,1.21,PILA LITIO 2450 3V PANASONIC,"$ 2,600.00",$ 94.14,"$ 2,594.14",$ 2.38,30.00,02/01/2024,1.83,$1.51
,,,,,,,,,,
,,CARGADORES ,,,,,,,,
,,,,,,,,,,
